epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.26,3.73631,3.63075,3.21202,0.00036,0.06863,0.00023,5e-05,4.12452,4.05332,3.43835,0.00330579,0.00330579,0.0702479
2,1227.76,3.29549,3.54353,2.86008,0.00034,0.08111,0.00029,7e-05,3.91394,4.1776,3.3178,0.00642003,0.00642003,0.0400288
3,1859.63,3.10585,3.63779,2.80786,0.00037,0.05977,0.00031,6e-05,3.82043,4.25635,3.21406,0.00931427,0.00931427,0.00958975
4,2496.22,2.96068,3.55041,2.74861,0.00032,0.05285,0.00024,5e-05,3.77127,4.1233,3.38446,0.00901,0.00901,0.00901
5,3143.93,2.96821,3.57222,2.76635,0.00032,0.05272,0.00027,5e-05,3.75931,4.04389,3.22978,0.00868,0.00868,0.00868
6,3773.32,2.91473,3.59638,2.74113,0.00034,0.06916,0.00025,6e-05,3.60957,4.1304,3.1293,0.00835,0.00835,0.00835
7,4386.54,2.89104,3.56768,2.72888,0.00031,0.069,0.00023,5e-05,3.63468,4.01863,3.16013,0.00802,0.00802,0.00802
